"Promotions history","Historique des promotions"
"Product Alerts in internal","Alertes du produit en interne"
"Deleted product","Produit supprimé"
"An error arose during the sending of emails.","Une erreur est survenue lors de l'envoi d'emails."
"Price change :","Changement de prix :"
"Special price change :","Changement de prix promotionnel :"
"New product :","Nouveau produit :"
"Allow alert when there is a new product", "Autoriser l'alerte quand il y a un nouveau produit"
"Allow alert when product special price changes", "Autoriser l'alerte quand le prix spécial du produit change"
"Save products in promotions history","Enregistrer les promotions dans l'historique"
"Special and Current price change :","Changement de prix normal et promotionnel :"
"This product is not listed in the promotions history.","Ce produit n'est pas répertorié dans l'historique des promotions."